ProcessID,SampleID,CollectionNotes,HWGrad,Plot,Method,HWGrad_Description,CONTIG,Project Code,Process ID,Sample ID,Field ID,BIN,Catalog Num,COI-5P Seq. Length,# ambiguities
ASSBW240-18,BL-10540Q-B07,BFMX Plot 5|Malaise|Mixed stand,BFMX,Plot 5,Malaise,Mixed stand,BFMXBOLD:AAA7527,ASSBW,ASSBW240-18,BL-10540Q-B07,M5,BOLD:AAA7527,,658,0
ASSBW243-18,BL-10540Q-E07,BFMX Plot 5|Malaise|Mixed stand,BFMX,Plot 5,Malaise,Mixed stand,BFMXBOLD:AAA7527,ASSBW,ASSBW243-18,BL-10540Q-E07,M5,BOLD:AAA7527,,658,0
ASSBW251-18,BL-10540Q-E08,BFMX Plot 6|Malaise|Mixed stand,BFMX,Plot 6,Malaise,Mixed stand,BFMXBOLD:AAA7527,ASSBW,ASSBW251-18,BL-10540Q-E08,M6,BOLD:AAA7527,,658,0
ASNBA646-16,Acadia15-45-8,HWBF Plot 9|Reared|Hardwood dominated stand,HWBF,Plot 9,Reared,Hardwood dominated stand,HWBFBOLD:AAA7886,ASNBA,ASNBA646-16,Acadia15-45-8,Acadia15-45-8,BOLD:AAA7886,,658,0
ASNBA814-16,Acadia15-23-232b,BFMX Plot 5|Reared|Mixed stand,BFMX,Plot 5,Reared,Mixed stand,BFMXBOLD:AAA7886,ASNBA,ASNBA814-16,Acadia15-23-232b,Acadia15-23-232b,BOLD:AAA7886,,658,0
ASNBA612-16,Acadia15-20-123,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAA8401,ASNBA,ASNBA612-16,Acadia15-20-123,Acadia15-20-123,BOLD:AAA8401,,658,0
ASNBA631-16,Acadia15-9-79b,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAA8401,ASNBA,ASNBA631-16,Acadia15-9-79b,Acadia15-9-79b,BOLD:AAA8401,,658,0
ASNBA644-16,Acadia15-20-7a,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAA8401,ASNBA,ASNBA644-16,Acadia15-20-7a,Acadia15-20-7a,BOLD:AAA8401,,658,0
ASNBA647-16,Acadia15-19-9a,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAA8401,ASNBA,ASNBA647-16,Acadia15-19-9a,Acadia15-19-9a,BOLD:AAA8401,,658,0
ASNBA649-16,Acadia15-19-11,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAA8401,ASNBA,ASNBA649-16,Acadia15-19-11,Acadia15-19-11,BOLD:AAA8401,,658,0
ASNBA660-16,Acadia15-25-25,BFMX Plot 5|Reared|Mixed stand,BFMX,Plot 5,Reared,Mixed stand,BFMXBOLD:AAA8401,ASNBA,ASNBA660-16,Acadia15-25-25,Acadia15-25-25,BOLD:AAA8401,,658,0
ASNBA742-16,Acadia15-44-142,HWBF Plot 9|Reared|Hardwood dominated stand,HWBF,Plot 9,Reared,Hardwood dominated stand,HWBFBOLD:AAA8401,ASNBA,ASNBA742-16,Acadia15-44-142,Acadia15-44-142,BOLD:AAA8401,,658,0
ASNBA745-16,Acadia15-21-145,BFMX Plot 5|Reared|Mixed stand,BFMX,Plot 5,Reared,Mixed stand,BFMXBOLD:AAA8401,ASNBA,ASNBA745-16,Acadia15-21-145,Acadia15-21-145,BOLD:AAA8401,,653,1
ASNBA746-16,Acadia15-21-146,BFMX Plot 5|Reared|Mixed stand,BFMX,Plot 5,Reared,Mixed stand,BFMXBOLD:AAA8401,ASNBA,ASNBA746-16,Acadia15-21-146,Acadia15-21-146,BOLD:AAA8401,,410,0
ASNBA753-16,Acadia15-34-153,HWBF Plot 7|Reared|Hardwood dominated stand,HWBF,Plot 7,Reared,Hardwood dominated stand,HWBFBOLD:AAA8401,ASNBA,ASNBA753-16,Acadia15-34-153,Acadia15-34-153,BOLD:AAA8401,,658,0
ASNBA757-16,Acadia15-19-157,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAA8401,ASNBA,ASNBA757-16,Acadia15-19-157,Acadia15-19-157,BOLD:AAA8401,,658,0
ASSBW083-18,CCDB-30294-G11,BFMX Plot 6|Malaise|Mixed stand,BFMX,Plot 6,Malaise,Mixed stand,BFMXBOLD:AAB1188,ASSBW,ASSBW083-18,CCDB-30294-G11,M6,BOLD:AAB1188,,658,0
ASSBW108-18,CCDB-30296-B01,HWBF Plot 7|Malaise|Hardwood dominated stand,HWBF,Plot 7,Malaise,Hardwood dominated stand,HWBFBOLD:AAB1188,ASSBW,ASSBW108-18,CCDB-30296-B01,M7,BOLD:AAB1188,,658,0
ASSBW233-18,BL-10540Q-C06,BFMX Plot 6|Malaise|Mixed stand,BFMX,Plot 6,Malaise,Mixed stand,BFMXBOLD:AAB3568,ASSBW,ASSBW233-18,BL-10540Q-C06,M6,BOLD:AAB3568,,658,0
ASNBA797-16,Acadia15-6-209a,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAB8437,ASNBA,ASNBA797-16,Acadia15-6-209a,Acadia15-6-209a,BOLD:AAB8437,,658,0
ASNBA798-16,Acadia15-6-209b,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAB8437,ASNBA,ASNBA798-16,Acadia15-6-209b,Acadia15-6-209b,BOLD:AAB8437,,382,0
ASNBA820-16,Acadia15-7-223,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAB8437,ASNBA,ASNBA820-16,Acadia15-7-223,Acadia15-7-223,BOLD:AAB8437,,407,0
ASNBA828-16,Acadia15-26-227c,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAB8437,ASNBA,ASNBA828-16,Acadia15-26-227c,Acadia15-26-227c,BOLD:AAB8437,,658,0
ASNBA832-16,Acadia15-8,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAB8765,ASNBA,ASNBA832-16,Acadia15-8,Acadia15-8,BOLD:AAB8765,,658,0
ASSBW181-18,CCDB-30296-H02,BFBF Plot 1|Malaise|Balsam fir dominated stand,BFBF,Plot 1,Malaise,Balsam fir dominated stand,BFBFBOLD:AAD0245,ASSBW,ASSBW181-18,CCDB-30296-H02,M1,BOLD:AAD0245,,658,0
ASSBW064-18,CCDB-30294-F04,HWBF Plot 8|Malaise|Hardwood dominated stand,HWBF,Plot 8,Malaise,Hardwood dominated stand,HWBFBOLD:AAD5193,ASSBW,ASSBW064-18,CCDB-30294-F04,M8,BOLD:AAD5193,,658,0
ASSBW073-18,CCDB-30294-G01,BFMX Plot 6|Malaise|Mixed stand,BFMX,Plot 6,Malaise,Mixed stand,BFMXBOLD:AAD5193,ASSBW,ASSBW073-18,CCDB-30294-G01,M6,BOLD:AAD5193,,658,0
ASSBW244-18,BL-10540Q-F07,BFMX Plot 5|Malaise|Mixed stand,BFMX,Plot 5,Malaise,Mixed stand,BFMXBOLD:AAD8806,ASSBW,ASSBW244-18,BL-10540Q-F07,M5,BOLD:AAD8806,,658,0
ASSBW323-18,CCDB-30293-D02,HWBF Plot 8|Malaise|Hardwood dominated stand,HWBF,Plot 8,Malaise,Hardwood dominated stand,HWBFBOLD:AAD8806,ASSBW,ASSBW323-18,CCDB-30293-D02,M8,BOLD:AAD8806,,658,0
ASNBA579-16,Acadia15-37-182a,HWBF Plot 8|Reared|Hardwood dominated stand,HWBF,Plot 8,Reared,Hardwood dominated stand,HWBFBOLD:AAE7919,ASNBA,ASNBA579-16,Acadia15-37-182a,Acadia15-37-182a,BOLD:AAE7919,,658,0
ASNBA581-16,Acadia15-15-183a,BFBF Plot 3|Reared|Balsam fir dominated stand,BFBF,Plot 3,Reared,Balsam fir dominated stand,BFBFBOLD:AAE7919,ASNBA,ASNBA581-16,Acadia15-15-183a,Acadia15-15-183a,BOLD:AAE7919,,642,0
ASNBA585-16,Acadia15-15-183aDUP,BFBF Plot 3|Reared|Balsam fir dominated stand,BFBF,Plot 3,Reared,Balsam fir dominated stand,BFBFBOLD:AAE7919,ASNBA,ASNBA585-16,Acadia15-15-183aDUP,Acadia15-15-183aDUP,BOLD:AAE7919,,644,0
ASNBA587-16,Acadia15-37-182DUP,HWBF Plot 8|Reared|Hardwood dominated stand,HWBF,Plot 8,Reared,Hardwood dominated stand,HWBFBOLD:AAE7919,ASNBA,ASNBA587-16,Acadia15-37-182DUP,Acadia15-37-182DUP,BOLD:AAE7919,,658,0
ASNBA794-16,Acadia15-13-206b,BFBF Plot 3|Reared|Balsam fir dominated stand,BFBF,Plot 3,Reared,Balsam fir dominated stand,BFBFBOLD:AAE7919,ASNBA,ASNBA794-16,Acadia15-13-206b,Acadia15-13-206b,BOLD:AAE7919,,658,0
ASNBA796-16,Acadia15-13-208,BFBF Plot 3|Reared|Balsam fir dominated stand,BFBF,Plot 3,Reared,Balsam fir dominated stand,BFBFBOLD:AAE7919,ASNBA,ASNBA796-16,Acadia15-13-208,Acadia15-13-208,BOLD:AAE7919,,658,0
ASNBA800-16,Acadia15-20-211,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAE7919,ASNBA,ASNBA800-16,Acadia15-20-211,Acadia15-20-211,BOLD:AAE7919,,658,0
ASNBA803-16,Acadia15-13-213b,BFBF Plot 3|Reared|Balsam fir dominated stand,BFBF,Plot 3,Reared,Balsam fir dominated stand,BFBFBOLD:AAE7919,ASNBA,ASNBA803-16,Acadia15-13-213b,Acadia15-13-213b,BOLD:AAE7919,,658,0
ASNBA804-16,Acadia15-13-215,BFBF Plot 3|Reared|Balsam fir dominated stand,BFBF,Plot 3,Reared,Balsam fir dominated stand,BFBFBOLD:AAE7919,ASNBA,ASNBA804-16,Acadia15-13-215,Acadia15-13-215,BOLD:AAE7919,,658,0
ASNBA805-16,Acadia15-14-231,BFBF Plot 3|Reared|Balsam fir dominated stand,BFBF,Plot 3,Reared,Balsam fir dominated stand,BFBFBOLD:AAE7919,ASNBA,ASNBA805-16,Acadia15-14-231,Acadia15-14-231,BOLD:AAE7919,,658,0
ASNBA809-16,Acadia15-23-218b,BFMX Plot 5|Reared|Mixed stand,BFMX,Plot 5,Reared,Mixed stand,BFMXBOLD:AAE7919,ASNBA,ASNBA809-16,Acadia15-23-218b,Acadia15-23-218b,BOLD:AAE7919,,658,0
ASNBA824-16,Acadia15-14-225b,BFBF Plot 3|Reared|Balsam fir dominated stand,BFBF,Plot 3,Reared,Balsam fir dominated stand,BFBFBOLD:AAE7919,ASNBA,ASNBA824-16,Acadia15-14-225b,Acadia15-14-225b,BOLD:AAE7919,,658,0
ASNBA834-16,Acadia15-43-214,HWBF Plot 9|Reared|Hardwood dominated stand,HWBF,Plot 9,Reared,Hardwood dominated stand,HWBFBOLD:AAG0379,ASNBA,ASNBA834-16,Acadia15-43-214,Acadia15-43-214,BOLD:AAG0379,,658,0
ASSBW109-18,CCDB-30296-B02,HWBF Plot 7|Malaise|Hardwood dominated stand,HWBF,Plot 7,Malaise,Hardwood dominated stand,HWBFBOLD:AAG0983,ASSBW,ASSBW109-18,CCDB-30296-B02,M7,BOLD:AAG0983,,658,0
ASSBW110-18,CCDB-30296-B03,HWBF Plot 7|Malaise|Hardwood dominated stand,HWBF,Plot 7,Malaise,Hardwood dominated stand,HWBFBOLD:AAG0983,ASSBW,ASSBW110-18,CCDB-30296-B03,M7,BOLD:AAG0983,,658,0
ASSBW384-18,CCDB-30297-A04,BFMX Plot 6|Malaise|Mixed stand,BFMX,Plot 6,Malaise,Mixed stand,BFMXBOLD:AAG1084,ASSBW,ASSBW384-18,CCDB-30297-A04,M6,BOLD:AAG1084,,658,0
ASSBW231-18,BL-10540Q-A06,BFBF Plot 3|Malaise|Balsam fir dominated stand,BFBF,Plot 3,Malaise,Balsam fir dominated stand,BFBFBOLD:AAG1302,ASSBW,ASSBW231-18,BL-10540Q-A06,M3,BOLD:AAG1302,,658,0
ASSBW099-18,CCDB-30296-A04,HWBF Plot 7|Malaise|Hardwood dominated stand,HWBF,Plot 7,Malaise,Hardwood dominated stand,HWBFBOLD:AAG1334,ASSBW,ASSBW099-18,CCDB-30296-A04,M7,BOLD:AAG1334,,658,0
ASSBW218-18,BL-10540Q-D04,BFMX Plot 4|Malaise|Mixed stand,BFMX,Plot 4,Malaise,Mixed stand,BFMXBOLD:AAG1334,ASSBW,ASSBW218-18,BL-10540Q-D04,M4,BOLD:AAG1334,,658,0
ASSBW113-18,CCDB-30296-B06,HWBF Plot 7|Malaise|Hardwood dominated stand,HWBF,Plot 7,Malaise,Hardwood dominated stand,HWBFBOLD:AAG1339,ASSBW,ASSBW113-18,CCDB-30296-B06,M7,BOLD:AAG1339,,658,0
ASSBW359-18,CCDB-30293-G02,BFMX Plot 4|Malaise|Mixed stand,BFMX,Plot 4,Malaise,Mixed stand,BFMXBOLD:AAG1350,ASSBW,ASSBW359-18,CCDB-30293-G02,M4,BOLD:AAG1350,,658,0
ASSBW253-18,BL-10540Q-G08,BFMX Plot 6|Malaise|Mixed stand,BFMX,Plot 6,Malaise,Mixed stand,BFMXBOLD:AAG1439,ASSBW,ASSBW253-18,BL-10540Q-G08,M6,BOLD:AAG1439,,658,0
ASSBW118-18,CCDB-30296-B11,HWBF Plot 7|Malaise|Hardwood dominated stand,HWBF,Plot 7,Malaise,Hardwood dominated stand,HWBFBOLD:AAG1448,ASSBW,ASSBW118-18,CCDB-30296-B11,M7,BOLD:AAG1448,,658,0
ASSBW186-18,CCDB-30296-H07,BFBF Plot 1|Malaise|Balsam fir dominated stand,BFBF,Plot 1,Malaise,Balsam fir dominated stand,BFBFBOLD:AAG1448,ASSBW,ASSBW186-18,CCDB-30296-H07,M1,BOLD:AAG1448,,658,0
ASSBW304-18,CCDB-30293-B07,HWBF Plot 9|Malaise|Hardwood dominated stand,HWBF,Plot 9,Malaise,Hardwood dominated stand,HWBFBOLD:AAG1448,ASSBW,ASSBW304-18,CCDB-30293-B07,M9,BOLD:AAG1448,,658,0
ASSBW159-18,CCDB-30296-F04,BFMX Plot 5|Malaise|Mixed stand,BFMX,Plot 5,Malaise,Mixed stand,BFMXBOLD:AAG2127,ASSBW,ASSBW159-18,CCDB-30296-F04,M5,BOLD:AAG2127,,658,0
ASSBW213-18,BL-10540Q-G03,BFBF Plot 1|Malaise|Balsam fir dominated stand,BFBF,Plot 1,Malaise,Balsam fir dominated stand,BFBFBOLD:AAG2128,ASSBW,ASSBW213-18,BL-10540Q-G03,M1,BOLD:AAG2128,,658,1
ASSBW239-18,BL-10540Q-A07,BFMX Plot 5|Malaise|Mixed stand,BFMX,Plot 5,Malaise,Mixed stand,BFMXBOLD:AAG2128,ASSBW,ASSBW239-18,BL-10540Q-A07,M5,BOLD:AAG2128,,658,0
ASSBW242-18,BL-10540Q-D07,BFMX Plot 5|Malaise|Mixed stand,BFMX,Plot 5,Malaise,Mixed stand,BFMXBOLD:AAG2128,ASSBW,ASSBW242-18,BL-10540Q-D07,M5,BOLD:AAG2128,,658,0
ASSBW282-18,BL-10540Q-D12,BFMX Plot 5|Malaise|Mixed stand,BFMX,Plot 5,Malaise,Mixed stand,BFMXBOLD:AAG2128,ASSBW,ASSBW282-18,BL-10540Q-D12,M5,BOLD:AAG2128,,658,0
ASSBW010-18,CCDB-30294-A10,HWBF Plot 7|Malaise|Hardwood dominated stand,HWBF,Plot 7,Malaise,Hardwood dominated stand,HWBFBOLD:AAG3627,ASSBW,ASSBW010-18,CCDB-30294-A10,M7,BOLD:AAG3627,,658,0
ASSBW011-18,CCDB-30294-A11,HWBF Plot 7|Malaise|Hardwood dominated stand,HWBF,Plot 7,Malaise,Hardwood dominated stand,HWBFBOLD:AAG3627,ASSBW,ASSBW011-18,CCDB-30294-A11,M7,BOLD:AAG3627,,658,0
ASSBW048-18,CCDB-30294-D12,HWBF Plot 7|Malaise|Hardwood dominated stand,HWBF,Plot 7,Malaise,Hardwood dominated stand,HWBFBOLD:AAG6745,ASSBW,ASSBW048-18,CCDB-30294-D12,M7,BOLD:AAG6745,,658,0
ASSBW162-18,CCDB-30296-F07,BFBF Plot 2|Malaise|Balsam fir dominated stand,BFBF,Plot 2,Malaise,Balsam fir dominated stand,BFBFBOLD:AAG7721,ASSBW,ASSBW162-18,CCDB-30296-F07,M2,BOLD:AAG7721,,643,0
ASSBW373-18,CCDB-30293-H04,HWBF Plot 7|Malaise|Hardwood dominated stand,HWBF,Plot 7,Malaise,Hardwood dominated stand,HWBFBOLD:AAG7721,ASSBW,ASSBW373-18,CCDB-30293-H04,M7,BOLD:AAG7721,,658,0
ASSBW337-18,CCDB-30293-E04,BFMX Plot 4|Malaise|Mixed stand,BFMX,Plot 4,Malaise,Mixed stand,BFMXBOLD:AAG7891,ASSBW,ASSBW337-18,CCDB-30293-E04,M4,BOLD:AAG7891,,643,0
ASSBW269-18,BL-10540Q-G10,BFBF Plot 1|Malaise|Balsam fir dominated stand,BFBF,Plot 1,Malaise,Balsam fir dominated stand,BFBFBOLD:AAG7899,ASSBW,ASSBW269-18,BL-10540Q-G10,M1,BOLD:AAG7899,,608,0
ASSBW271-18,BL-10540Q-A11,BFMX Plot 6|Malaise|Mixed stand,BFMX,Plot 6,Malaise,Mixed stand,BFMXBOLD:AAG7899,ASSBW,ASSBW271-18,BL-10540Q-A11,M6,BOLD:AAG7899,,476,0
ASSBW285-18,BL-10540Q-G12,BFMX Plot 5|Malaise|Mixed stand,BFMX,Plot 5,Malaise,Mixed stand,BFMXBOLD:AAG7899,ASSBW,ASSBW285-18,BL-10540Q-G12,M5,BOLD:AAG7899,,607,0
ASSBW334-18,CCDB-30293-E01,BFMX Plot 6|Malaise|Mixed stand,BFMX,Plot 6,Malaise,Mixed stand,BFMXBOLD:AAG7899,ASSBW,ASSBW334-18,CCDB-30293-E01,M6,BOLD:AAG7899,,482,6
ASSBW344-18,CCDB-30293-E11,BFBF Plot 2|Malaise|Balsam fir dominated stand,BFBF,Plot 2,Malaise,Balsam fir dominated stand,BFBFBOLD:AAG7899,ASSBW,ASSBW344-18,CCDB-30293-E11,M2,BOLD:AAG7899,,483,0
ASSBW345-18,CCDB-30293-E12,BFBF Plot 2|Malaise|Balsam fir dominated stand,BFBF,Plot 2,Malaise,Balsam fir dominated stand,BFBFBOLD:AAG7899,ASSBW,ASSBW345-18,CCDB-30293-E12,M2,BOLD:AAG7899,,483,0
ASSBW380-18,CCDB-30293-H11,BFBF Plot 2|Malaise|Balsam fir dominated stand,BFBF,Plot 2,Malaise,Balsam fir dominated stand,BFBFBOLD:AAG7899,ASSBW,ASSBW380-18,CCDB-30293-H11,M2,BOLD:AAG7899,,487,4
ASSBW383-18,CCDB-30297-A03,BFBF Plot 3|Malaise|Balsam fir dominated stand,BFBF,Plot 3,Malaise,Balsam fir dominated stand,BFBFBOLD:AAG7899,ASSBW,ASSBW383-18,CCDB-30297-A03,M3,BOLD:AAG7899,,475,0
ASSBW387-18,CCDB-30297-A07,BFMX Plot 6|Malaise|Mixed stand,BFMX,Plot 6,Malaise,Mixed stand,BFMXBOLD:AAG7899,ASSBW,ASSBW387-18,CCDB-30297-A07,M6,BOLD:AAG7899,,471,0
ASSBW404-18,CCDB-30297-B12,BFMX Plot 5|Malaise|Mixed stand,BFMX,Plot 5,Malaise,Mixed stand,BFMXBOLD:AAG7899,ASSBW,ASSBW404-18,CCDB-30297-B12,M5,BOLD:AAG7899,,462,0
ASSBW021-18,CCDB-30294-B09,HWBF Plot 9|Malaise|Hardwood dominated stand,HWBF,Plot 9,Malaise,Hardwood dominated stand,HWBFBOLD:AAG8211,ASSBW,ASSBW021-18,CCDB-30294-B09,M9,BOLD:AAG8211,,658,0
ASSBW107-18,CCDB-30296-A12,HWBF Plot 7|Malaise|Hardwood dominated stand,HWBF,Plot 7,Malaise,Hardwood dominated stand,HWBFBOLD:AAG8211,ASSBW,ASSBW107-18,CCDB-30296-A12,M7,BOLD:AAG8211,,658,0
ASSBW111-18,CCDB-30296-B04,HWBF Plot 7|Malaise|Hardwood dominated stand,HWBF,Plot 7,Malaise,Hardwood dominated stand,HWBFBOLD:AAG8211,ASSBW,ASSBW111-18,CCDB-30296-B04,M7,BOLD:AAG8211,,658,0
ASSBW112-18,CCDB-30296-B05,HWBF Plot 7|Malaise|Hardwood dominated stand,HWBF,Plot 7,Malaise,Hardwood dominated stand,HWBFBOLD:AAG8211,ASSBW,ASSBW112-18,CCDB-30296-B05,M7,BOLD:AAG8211,,658,0
ASSBW114-18,CCDB-30296-B07,HWBF Plot 7|Malaise|Hardwood dominated stand,HWBF,Plot 7,Malaise,Hardwood dominated stand,HWBFBOLD:AAG8211,ASSBW,ASSBW114-18,CCDB-30296-B07,M7,BOLD:AAG8211,,658,0
ASSBW131-18,CCDB-30296-C12,BFMX Plot 5|Malaise|Mixed stand,BFMX,Plot 5,Malaise,Mixed stand,BFMXBOLD:AAG8211,ASSBW,ASSBW131-18,CCDB-30296-C12,M5,BOLD:AAG8211,,658,0
ASSBW147-18,CCDB-30296-E04,HWBF Plot 9|Malaise|Hardwood dominated stand,HWBF,Plot 9,Malaise,Hardwood dominated stand,HWBFBOLD:AAG8211,ASSBW,ASSBW147-18,CCDB-30296-E04,M9,BOLD:AAG8211,,658,0
ASSBW150-18,CCDB-30296-E07,HWBF Plot 9|Malaise|Hardwood dominated stand,HWBF,Plot 9,Malaise,Hardwood dominated stand,HWBFBOLD:AAG8211,ASSBW,ASSBW150-18,CCDB-30296-E07,M9,BOLD:AAG8211,,658,0
ASSBW151-18,CCDB-30296-E08,HWBF Plot 9|Malaise|Hardwood dominated stand,HWBF,Plot 9,Malaise,Hardwood dominated stand,HWBFBOLD:AAG8211,ASSBW,ASSBW151-18,CCDB-30296-E08,M9,BOLD:AAG8211,,658,0
ASSBW245-18,BL-10540Q-G07,BFMX Plot 5|Malaise|Mixed stand,BFMX,Plot 5,Malaise,Mixed stand,BFMXBOLD:AAG8211,ASSBW,ASSBW245-18,BL-10540Q-G07,M5,BOLD:AAG8211,,658,0
ASSBW255-18,BL-10540Q-A09,BFMX Plot 6|Malaise|Mixed stand,BFMX,Plot 6,Malaise,Mixed stand,BFMXBOLD:AAG8211,ASSBW,ASSBW255-18,BL-10540Q-A09,M6,BOLD:AAG8211,,658,0
ASSBW355-18,CCDB-30293-F10,BFMX Plot 4|Malaise|Mixed stand,BFMX,Plot 4,Malaise,Mixed stand,BFMXBOLD:AAG8211,ASSBW,ASSBW355-18,CCDB-30293-F10,M4,BOLD:AAG8211,,658,0
ASSBW356-18,CCDB-30293-F11,BFMX Plot 4|Malaise|Mixed stand,BFMX,Plot 4,Malaise,Mixed stand,BFMXBOLD:AAG8211,ASSBW,ASSBW356-18,CCDB-30293-F11,M4,BOLD:AAG8211,,658,0
ASSBW357-18,CCDB-30293-F12,BFMX Plot 4|Malaise|Mixed stand,BFMX,Plot 4,Malaise,Mixed stand,BFMXBOLD:AAG8211,ASSBW,ASSBW357-18,CCDB-30293-F12,M4,BOLD:AAG8211,,658,0
ASSBW358-18,CCDB-30293-G01,BFMX Plot 4|Malaise|Mixed stand,BFMX,Plot 4,Malaise,Mixed stand,BFMXBOLD:AAG8211,ASSBW,ASSBW358-18,CCDB-30293-G01,M4,BOLD:AAG8211,,658,0
ASSBW078-18,CCDB-30294-G06,BFMX Plot 6|Malaise|Mixed stand,BFMX,Plot 6,Malaise,Mixed stand,BFMXBOLD:AAG8213,ASSBW,ASSBW078-18,CCDB-30294-G06,M6,BOLD:AAG8213,,658,0
ASSBW116-18,CCDB-30296-B09,HWBF Plot 7|Malaise|Hardwood dominated stand,HWBF,Plot 7,Malaise,Hardwood dominated stand,HWBFBOLD:AAG8213,ASSBW,ASSBW116-18,CCDB-30296-B09,M7,BOLD:AAG8213,,658,0
