ProcessID,SampleID,CollectionNotes,Project Code,BIN,OTU,Collection Date
ASSPQ739-09,EE-277-88 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA1517,OTU-105,12-Apr-1988
ASSPQ743-09,EE-1160-88 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA1517,OTU-105,06-May-1988
ASSPP872-08,EE-12673-86 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,15-Jul-1986
ASSPP874-08,EE-12903-86 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,16-Jul-1986
ASSPP875-08,EE-13093-86 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,17-Jul-1986
ASSPP876-08,EE-13323-86 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,18-Jul-1986
ASSPP878-08,EE-13400-86 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,18-Jul-1986
ASSPP880-08,EE-13508-86 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,22-Jul-1986
ASSPP882-08,EE-12462-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,11-Jul-1986
ASSPP883-08,EE-12810-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,15-Jul-1986
ASSPP885-08,EE-13021-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,16-Jul-1986
ASSPP886-08,EE-13055-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,16-Jul-1986
ASSPP887-08,EE-13230-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,17-Jul-1986
ASSPP888-08,EE-13249-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,18-Jul-1986
ASSPP889-08,EE-13309i-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,18-Jul-1986
ASSPP890-08,EE-13317-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,18-Jul-1986
ASSPP896-08,EE-6446-88 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,11-Jul-1988
ASSPP897-08,EE-6591-88 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,14-Jul-1988
ASSPP899-08,EE-6701-88 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,18-Jul-1988
ASSPP900-08,EE-6727-88 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,18-Jul-1988
ASSPP901-08,EE-6748-88 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,18-Jul-1988
ASSPP902-08,EE-6751-88 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,18-Jul-1988
ASSPP905-08,EE-6883-88 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,25-Jul-1988
ASSPP928-08,EE-13698i-86 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,23-Jul-1986
ASSPP929-08,EE-13698ii-86 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,23-Jul-1986
ASSPP930-08,EE-13698iii-86 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,23-Jul-1986
ASSPP931-08,EE-13698iv-86 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,23-Jul-1986
ASSPQ041-08,EE-12793-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,15-Jul-1986
ASSPQ225-09,EE-30-87 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,18-Jun-1987
ASSPQ230-09,EE-50-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,25-Jun-1986
ASSPQ234-09,EE-95-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,27-Jun-1986
ASSPQ238-09,EE-144-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,01-Jul-1986
ASSPQ245-09,EE-258-88 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,27-Jun-1988
ASSPQ267-09,EE-759-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,16-Jul-1986
ASSPQ268-09,EE-764-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,16-Jul-1986
ASSPQ281-09,EE-706-86 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,15-Jul-1986
ASSPQ292-09,EE-844-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,16-Jul-1986
ASSPQ296-09,EE-351-87 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,02-Jul-1987
ASSPQ298-09,EE-417-87 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,03-Jul-1987
ASSPQ299-09,EE-444-87 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,06-Jul-1987
ASSPQ302-09,EE-306-88 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,30-Jun-1988
ASSPQ309-09,EE-1374-89 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,24-Jul-1989
ASSPQ316-09,EE-1134i-91 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,22-Jul-1991
ASSPQ317-09,EE-1134ii-91 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,22-Jul-1991
ASSPQ318-09,EE-1148-91 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,22-Jul-1991
ASSPQ319-09,EE-1212-91 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,25-Jul-1991
ASSPQ325-09,EE-231ii-87 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,26-Jun-1987
ASSPQ329-09,EE-1114-88 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,25-Jul-1988
ASSPQ336-09,EE-319-86 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,07-Jul-1986
ASSPQ338-09,EE-491-87 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,07-Jul-1987
ASSPP881-08,EE-13525-86 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,22-Jul-1986
ASSPQ232-09,EE-69-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,26-Jun-1986
ASSPQ247-09,EE-1158-88 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,25-Jun-1988
ASSPQ249-09,EE-282-86 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,07-Jul-1986
ASSPQ273-09,EE-1186-88 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,25-Jul-1988
ASSPQ295-09,EE-331-87 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,01-Jul-1987
ASSPQ337-09,EE-380-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,10-Jul-1986
ASSPP904-08,EE-6864-88 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,25-Jul-1988
ASSPQ226-09,EE-52-87 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,23-Jun-1987
ASSPQ248-09,EE-1173-88 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,25-Jun-1988
ASSPQ320-09,EE-1353-91 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,29-Jul-1991
ASSPQ235-09,EE-140-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,01-Jul-1986
ASSPQ258-09,EE-672-85 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,01-Jul-1985
ASSPQ269-09,EE-879-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,17-Jul-1986
ASSPP873-08,EE-12728-86 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,15-Jul-1986
ASSPQ264-09,EE-373-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,10-Jul-1986
ASSPQ257-09,EE-660-85 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,01-Jul-1985
ASSPP877-08,EE-13365-86 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,18-Jul-1986
ASSPQ224-09,EE-15-87 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,16-Jun-1987
ASSPQ237-09,EE-143-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,01-Jul-1986
ASSPP891-08,EE-13504i-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,22-Jul-1986
ASSPP879-08,EE-13469-86 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA4053,OTU-56,21-Jul-1986
ASSPQ260-09,EE-257-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,04-Jul-1986
ASSPQ326-09,EE-654-90 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,30-Jul-1990
ASSPQ306-09,EE-1249-89 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,20-Jul-1989
ASSPQ293-09,EE-134-86 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA4053,OTU-56,01-Jul-1986
ASSPP898-08,EE-6649-88 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA4053,OTU-56,14-Jul-1988
